第7439次会议，2015年5月11日举行。	7439th meeting, held on 11 May 2015.
该组织的使命是以通信作为社会行动的一个战略领域，针对通信的各种挑战，拟订和发展对策。	The organization's mission is to formulate and develop responses to the various challenges of communication as a strategic area for social action.
中间派民主国际团结各方、各组织和政治团体，按照基督教人文主义或整全人文主义，即推崇团结和博爱的人文主义，激励人们的思想和行为。	Centrist Democrat International brings together parties, organizations and political associations that inspire ideas and behaviour within the principals of Christian humanism or integral humanism, that is to say humanism that is open to solidarity and fraternity.
主席:	Chair:
因此，城市化可以减少贫困，促进经济增长，提高城乡地区之间的相互依赖性。	As a result, urbanization has reduced poverty, increased economic growth and improved interdependence between urban and rural areas.
包括各级政府、私营部门和工会在内的不同利益攸关方，在城乡联系方面可发挥什么作用？	What is the role of the various stakeholders in relation to urban-rural linkages, including different levels of government, the private sector and workers' unions?
议程项目131	Agenda item 131
1. 实施：继续支持各国努力制定和实施相关战略和计划，以实现千年发展目标方面未完成事项，包括加速努力和开发工具，以实现可持续发展目标的本地化；	Implementation: Continue supporting countries in their efforts to develop and implement strategies and plans to achieve the unfinished business of the Millennium Development Goals, including acceleration efforts and developing tools to localize the sustainable development goals;
除了拉巴特、廷杜夫(阿尔及利亚)、阿尔及尔和努瓦克肖特，他还第二次访问了西撒哈拉，与当地的各类对话者互动。	In addition to Rabat, Tindouf (Algeria), Algiers and Nouakchott, he also visited Western Sahara for the second time, where he interacted with a wide spectrum of local interlocutors.
非盟和平与安全理事会考虑到有必要就这一问题确保加强和协调国际参与问题，通过所附的公报，以期促进在国际法基础上早日解决西撒哈拉冲突的问题。	In adopting the attached communique, the PSC was guided by the need to ensure an enhanced and coordinated international engagement on the issue, with a view to facilitating the early resolution of the conflict In Western Sahara on the basis of international legality.
B. 其他文件，包括会员国提交的文件	B. Other documents, including documents submitted by Member States
秘书长关于"人力资源管理改革概览：建设一支全球化、有活力和适应性强的联合国员工队伍"的报告	Report of the Secretary-General on the overview of human resources management reform: towards a global, dynamic and adaptable workforce for the United Nations
17. 本次审查对联合国系统各组织使用退休人员和已过规定离职年龄工作人员进行了审查情况。	17. This review examines the use of retirees and the retention of staff beyond mandatory age of separation (MAS) in United Nations organizations.
此外，儿基会作为联合国发展援助框架(联发援框架)进程的积极参与者，遵守联合国发展集团关于使可持续发展成为主流和将可持续发展的三个方面融入联发援框架进程的指导性说明。	In addition, UNICEF as an active participant in the United Nations Development Assistance Framework (UNDAF) process, adheres to the United Nations Development Group guidance notes on mainstreaming environmental sustainability and the integration of the three dimensions of sustainable development into the UNDAF process.
以性别平等作为`重大'或`主要'目标的支出：27%	Expenditure with gender equality as a `significant' or `principal' objective: 27%
仙台宣言	Sendai Declaration
有代表提议在大韩民国建立一个联合国新闻中心。	The establishment of an information centre in the Republic of Korea was proposed.
29. 伊黎伊斯兰国继续处决平民。	29. ISIL continued to execute civilians.
构成部分4：马里北部的早期恢复	Component 4: early recovery in northern Mali
